$ 900 Point Integration Scheme

$ Collums: Node id x y z weight
1 0.00000000000000E+00 0.00000000000000E+00 1.00000000000000E+00 1.04739940264380E-02
2 9.96972891319000E-01 0.00000000000000E+00 -7.77499451740000E-02 1.78538470440252E-02
3 -9.82581060536000E-01 -1.78228496639000E-01 5.26218819720000E-02 1.43651999597186E-02
4 7.83068336711000E-01 6.21935399592000E-01 -5.82043422000000E-04 1.69079005937576E-02
5 4.95365041556000E-01 8.04616360278000E-01 3.27423255707000E-01 1.55904051592632E-02
6 -2.68566696162000E-01 -7.34252990559000E-01 6.23493765460000E-01 1.57065125730888E-02
7 -5.18797826849000E-01 8.54890674061000E-01 3.27875898300000E-03 1.45123186712136E-02
8 -9.60017419086000E-01 -1.08846768613000E-01 2.57912651907000E-01 1.37152551377335E-02
9 -6.76207321898000E-01 -3.84601345320000E-01 -6.28351384967000E-01 1.71455054673552E-02
10 -2.24573966429000E-01 9.68876550694000E-01 -1.04138192409000E-01 1.69520615919286E-02
11 -8.50989429348000E-01 -1.28055589111000E-01 -5.09331677039000E-01 1.32975361753646E-02
12 -1.17034299758000E-01 -3.82618734103000E-01 -9.16463789243000E-01 1.37321835357370E-02
13 -2.42832540611000E-01 -3.71800943221000E-01 -8.95989071273000E-01 1.40323333102992E-02
14 1.18185369053000E-01 5.36531573563000E-01 8.35563336386000E-01 1.18809084097433E-02
15 3.87868988733000E-01 -1.78294868797000E-01 9.04305582942000E-01 1.45032001056799E-02
16 7.62262920998000E-01 -6.07812974675000E-01 -2.22527811946000E-01 8.71650511030435E-03
17 -2.05458031773000E-01 -8.86163211920000E-01 4.15333310752000E-01 2.04701561429657E-02
18 -4.00891098554000E-01 1.29678481055000E-01 9.06901217692000E-01 2.52397916275644E-02
19 -1.61632828627000E-01 9.63162162784000E-01 -2.14926677945000E-01 1.28426303727738E-02
20 -2.96311835751000E-01 -4.53648551960000E-02 -9.54013273444000E-01 1.50387236980294E-02
21 -9.83477624389000E-01 1.05232740135000E-01 -1.47301842246000E-01 1.61605522390530E-02
22 9.39292243275000E-01 3.40048361396000E-01 4.57951267550000E-02 1.09641562419550E-02
23 4.08621574170000E-01 -9.11467140107000E-01 -4.74980170890000E-02 1.17951173088939E-02
24 -8.46440610041000E-01 7.46054415840000E-02 5.27230805018000E-01 1.49656727019870E-02
25 9.22328935836000E-01 3.51691018398000E-01 1.60071114503000E-01 1.97146487701280E-02
26 -5.62816608531000E-01 -1.84414466096000E-01 8.05747336239000E-01 2.18341483980652E-02
27 6.88770932121000E-01 -3.31452962570000E-02 -7.24220955511000E-01 1.32733434931552E-02
28 -6.93721949430000E-02 -9.58534292457000E-01 -2.76404610587000E-01 1.05698007858874E-02
29 -6.65367647350000E-02 -7.36186242601000E-01 6.73500315622000E-01 1.50609795610399E-02
30 1.70865010346000E-01 1.29086130112000E-01 9.76801883317000E-01 1.46007192855017E-02
31 -1.71065460940000E-01 -2.67826821378000E-01 9.48158953881000E-01 2.71456082469841E-02
32 7.82472530470000E-02 9.00604217443000E-01 4.27538782935000E-01 1.51302009693840E-02
33 -3.73974701880000E-02 9.99300353112000E-01 4.83212208000000E-04 1.67347573436768E-02
34 7.22143991034000E-01 -5.19175144604000E-01 -4.57127143625000E-01 1.46688203288443E-02
35 -3.41170368472000E-01 9.32454689983000E-01 1.18874012317000E-01 1.05761607606182E-02
36 9.13627041301000E-01 1.76498936890000E-01 -3.66242753758000E-01 1.42420743715979E-02
37 9.81587060638000E-01 9.77512783820000E-02 -1.64108287304000E-01 1.48525202232420E-02
38 -1.75564913877000E-01 -3.85061463639000E-01 9.06037874614000E-01 1.55709877899890E-03
39 3.59573592270000E-02 6.20723016752000E-01 7.83204957078000E-01 2.17356807945822E-02
40 8.93221107164000E-01 -3.78010326417000E-01 2.43442491853000E-01 9.19522484776165E-03
41 -8.54118167296000E-01 5.19991968523000E-01 -9.51362007300000E-03 1.23212209553464E-02
42 -9.03411487018000E-01 2.11422207602000E-01 3.73025917673000E-01 1.43923885618574E-02
43 7.52764931978000E-01 -3.04805260431000E-01 5.83471259274000E-01 9.90305238991048E-03
44 8.26162624100000E-01 -8.86841972500000E-02 -5.56408511526000E-01 1.22904031692632E-02
45 -9.07365714256000E-01 -4.58430903620000E-02 -4.17834742043000E-01 1.10167976757318E-02
46 8.38674106059000E-01 3.83585781448000E-01 -3.86636382273000E-01 1.45765375052729E-02
47 -8.89189043970000E-01 8.15899688750000E-02 -4.50206531564000E-01 1.31530962097501E-02
48 -9.54535134767000E-01 1.41999887239000E-01 -2.62104384777000E-01 1.41906587139638E-02
49 -8.12431876189000E-01 -4.43776991390000E-01 3.78175129358000E-01 1.45566730022185E-02
50 -6.14668305740000E-01 4.56734263512000E-01 6.43099281956000E-01 7.58458166076894E-03
51 3.06948964000000E-03 -9.86966630690000E-01 1.60895767932000E-01 9.47219111388667E-03
52 -7.89952684686000E-01 -4.63954114860000E-02 -6.11410027519000E-01 1.27284497502683E-02
53 -5.21727387399000E-01 7.63220583448000E-01 -3.81175647490000E-01 1.88795702132187E-02
54 9.01106211710000E-02 9.95931340665000E-01 9.16860649000000E-04 1.66898283160966E-02
55 5.47947478344000E-01 7.33115134480000E-01 4.02859479934000E-01 1.66377070835313E-02
56 -8.42270171800000E-03 5.25448072931000E-01 8.50783980073000E-01 8.64100772138693E-03
57 -3.62614348616000E-01 -1.53787438641000E-01 -9.19162802714000E-01 1.08841291307787E-02
58 -7.09660567510000E-01 6.88359325827000E-01 1.50144322130000E-01 1.64377129325481E-02
59 -5.69469411805000E-01 -1.26207289567000E-01 -8.12266156551000E-01 1.69171368555557E-02
60 4.63325320655000E-01 8.85999474358000E-01 1.82914919320000E-02 1.62301106714405E-02
61 9.88049242055000E-01 1.25824672126000E-01 8.90328431500000E-02 1.61595016462791E-02
62 -9.12546938245000E-01 4.08914451552000E-01 -6.85979681800000E-03 1.54508928099058E-02
63 2.81792257495000E-01 -2.41124933200000E-01 9.28682879247000E-01 1.40372484743696E-02
64 4.14783752898000E-01 -7.30154896339000E-01 5.42980907292000E-01 8.81228776778448E-03
65 -3.96034144690000E-01 -4.69085834794000E-01 7.89376612166000E-01 1.83888912628134E-02
66 7.53119395631000E-01 -6.57506022929000E-01 2.22936254720000E-02 9.70613069464809E-03
67 -8.54330924993000E-01 -3.99497714473000E-01 -3.32445855337000E-01 1.16749134976149E-02
68 7.02330428270000E-01 -6.57902370036000E-01 2.71838998356000E-01 2.09620425921448E-02
69 -3.29401105392000E-01 7.77060217581000E-01 5.36350939236000E-01 5.08818991981437E-03
70 9.25584459762000E-01 -2.54506173130000E-01 -2.80214231770000E-01 1.13416466001869E-02
71 8.61866730317000E-01 -1.73126139133000E-01 -4.76668731008000E-01 1.38047319304686E-02
72 -7.43882260610000E-01 6.50343317486000E-01 -1.53924500163000E-01 1.06279150689676E-02
73 -9.86019999867000E-01 1.58049444489000E-01 5.27724640290000E-02 1.48477263993528E-02
74 3.43422352076000E-01 4.56188930735000E-01 -8.20946251328000E-01 1.50186358731031E-02
75 -3.40898203420000E-02 2.16432245369000E-01 9.75702294408000E-01 1.26407663791459E-02
76 6.62106849154000E-01 3.92294899955000E-01 6.38528959227000E-01 1.33975968714992E-02
77 -6.17143323083000E-01 -7.04457794918000E-01 3.50532928486000E-01 7.79960188726086E-03
78 -8.77317131436000E-01 -3.37724751232000E-01 3.40964284485000E-01 1.86903568050351E-02
79 -1.37713797829000E-01 -1.38120949020000E-02 9.90375754914000E-01 -9.10463023759978E-04
80 -4.16107550629000E-01 -4.35727602409000E-01 -7.98120268386000E-01 1.02634322678495E-02
81 3.73555412181000E-01 3.41210619117000E-01 -8.62572702694000E-01 1.56799629727840E-02
82 -8.11675510087000E-01 -2.50484422061000E-01 5.27674540441000E-01 1.86699227108308E-02
83 5.83915213496000E-01 -7.14393467036000E-01 -3.85596936844000E-01 1.61813999449684E-02
84 -9.10554514778000E-01 1.74808261373000E-01 -3.74609860219000E-01 1.21338252668362E-02
85 -8.01054223687000E-01 5.91790331457000E-01 8.99796327390000E-02 1.61204022804796E-02
86 -8.25552356933000E-01 4.22523218691000E-01 3.74082124178000E-01 1.48862022897024E-02
87 -4.39278424530000E-02 2.56600779302000E-01 -9.65518712775000E-01 1.77540689787818E-02
88 5.98473834488000E-01 -7.55477780549000E-01 -2.66612813889000E-01 9.41810723833276E-03
89 4.63207873171000E-01 2.76286761690000E-02 8.85818899373000E-01 1.18742946469729E-02
90 -6.47062404608000E-01 4.13571273840000E-01 -6.40522478917000E-01 1.36102682458684E-02
91 -7.17952628619000E-01 3.14075721633000E-01 -6.21208873198000E-01 1.35904901745587E-02
92 -2.05102905755000E-01 3.85158092710000E-01 -8.99769993760000E-01 1.83938636624654E-02
93 -1.83918566825000E-01 -5.97258508257000E-01 7.80676780167000E-01 1.88912658169032E-02
94 -5.02469354920000E-02 6.39130698348000E-01 -7.67455012299000E-01 1.09120214313113E-02
95 -4.12350520967000E-01 5.95729761732000E-01 6.89255467041000E-01 1.08279884705066E-02
96 2.81340239598000E-01 8.36800646804000E-01 4.69693886581000E-01 1.14849309575112E-02
97 -1.08363708543000E-01 3.07546157630000E-01 9.45342619159000E-01 2.22444229894742E-02
98 5.08818204177000E-01 -8.55386046876000E-01 -9.70502236390000E-02 1.22047725379152E-02
99 3.39415368226000E-01 8.42035563054000E-01 -4.19253286647000E-01 9.33398973829727E-03
100 6.09015001240000E-01 -2.79073287137000E-01 -7.42441128085000E-01 1.35840498306168E-02
101 8.18669629233000E-01 -9.47222710260000E-02 5.66398913791000E-01 1.07853480418492E-02
102 -6.31672037900000E-01 6.83469016167000E-01 -3.65869567571000E-01 1.01583825346368E-02
103 2.34788475691000E-01 -7.68148800892000E-01 5.95669196258000E-01 1.04267795270999E-02
104 -9.97275258459000E-01 6.77987371550000E-02 -2.90755929630000E-02 1.11243359914793E-02
105 -8.29948233288000E-01 -5.56314104916000E-01 -4.12376858330000E-02 1.30749439434855E-02
106 -6.56258690231000E-01 5.96852018951000E-01 -4.61619105941000E-01 1.88603794218748E-02
107 -1.89858522998000E-01 -9.47549770628000E-01 -2.57105374171000E-01 1.06875496116521E-02
108 1.53697006244000E-01 9.82078862831000E-01 -1.09079500606000E-01 1.30521992444221E-02
109 3.54745613399000E-01 7.67675713887000E-01 5.33694245877000E-01 1.77919580376156E-02
110 -1.36200871745000E-01 1.64041989295000E-01 -9.77005398288000E-01 1.37389950101356E-02
111 2.98501595237000E-01 2.55289167523000E-01 -9.19632665028000E-01 1.53001220332597E-02
112 4.94556093772000E-01 -2.12486497328000E-01 8.42771474699000E-01 9.58085190787836E-03
113 -5.95198664492000E-01 8.00713447280000E-01 -6.77976779250000E-02 1.35133264677580E-02
114 5.78204063980000E-02 -2.56824253775000E-01 9.64726957889000E-01 2.54979136338170E-02
115 2.85863667114000E-01 1.47839841018000E-01 9.46797415096000E-01 1.41884652051319E-02
116 -4.88373282363000E-01 6.33891485383000E-01 5.99727539665000E-01 9.37890558872874E-03
117 -9.04409499440000E-01 9.36218724110000E-02 4.16267224663000E-01 1.47567556021703E-02
118 -8.42792321703000E-01 -2.50039671450000E-01 -4.76635358717000E-01 1.17540457268570E-02
119 3.36575112118000E-01 7.20115040603000E-01 -6.06754911146000E-01 9.09479440212687E-03
120 6.52174274313000E-01 1.64949608191000E-01 -7.39905630930000E-01 1.38642466687013E-02
121 -7.73634673921000E-01 3.16502970070000E-02 6.32840935786000E-01 9.81712669112630E-03
122 2.76765260490000E-02 9.93618792426000E-01 -1.09342147606000E-01 1.12243999486740E-02
123 -1.31807177607000E-01 5.05601709955000E-01 8.52639301711000E-01 2.31076116254230E-02
124 -6.62892576584000E-01 -9.80588180950000E-02 -7.42265383878000E-01 8.39790120002204E-03
125 -6.37629867632000E-01 -4.95459192457000E-01 -5.89871461010000E-01 1.35514707683547E-02
126 -8.42684049655000E-01 -5.08643052766000E-01 1.76538486821000E-01 1.39802267644904E-02
127 9.22308651983000E-01 -3.34756475017000E-01 -1.93092860851000E-01 1.67852955596306E-02
128 2.06876378707000E-01 -2.63513985155000E-01 -9.42211517421000E-01 1.09071703370040E-02
129 -5.42441106377000E-01 -8.28281095131000E-01 1.40385446402000E-01 1.64761461710532E-02
130 -6.44694739065000E-01 1.13591543115000E-01 7.55953473935000E-01 4.14187813635133E-03
131 -6.86396578815000E-01 4.86362629857000E-01 5.40658051701000E-01 1.78039742199054E-02
132 -9.18091159826000E-01 -1.26845230120000E-01 3.75524845842000E-01 1.73215371669061E-02
133 -3.58874527640000E-02 -9.97687693124000E-01 -5.77179151010000E-02 1.02261630266939E-02
134 3.75598722903000E-01 -6.18059305090000E-02 9.24719214847000E-01 9.95915771644804E-03
135 1.22043262480000E-02 -3.81826056943000E-01 -9.24153621786000E-01 1.31342240263732E-02
136 8.70154020408000E-01 2.12347524795000E-01 4.44680232842000E-01 1.53939741433271E-02
137 5.57583529344000E-01 8.10481180221000E-01 -1.79501711165000E-01 1.35512771266246E-02
138 -8.27325980918000E-01 -5.36023937381000E-01 -1.67958506343000E-01 1.21296899069461E-02
139 8.80008792349000E-01 -1.23313705859000E-01 4.58670094224000E-01 1.60378042455042E-02
140 2.39032198645000E-01 7.78060786399000E-01 5.80934609641000E-01 1.02471316849598E-02
141 -1.82374068654000E-01 -4.94332465663000E-01 8.49926533575000E-01 1.82369553716508E-02
142 2.54825826200000E-01 -9.60754025308000E-01 1.09615241443000E-01 1.49374828108569E-02
143 -7.32094368476000E-01 -4.34371652132000E-01 -5.24746704106000E-01 1.12272853885936E-02
144 -4.09193091492000E-01 3.03127182037000E-01 -8.60624729708000E-01 1.58334489664512E-02
145 9.73839385347000E-01 2.27219646942000E-01 2.84316570800000E-03 1.80870000506465E-02
146 8.52599094232000E-01 2.98996757320000E-02 -5.21709491868000E-01 1.41283048055560E-02
147 -8.65421257613000E-01 3.81631687469000E-01 -3.24658746981000E-01 1.18587149004652E-02
148 -8.51140660166000E-01 4.69579120850000E-01 -2.34638074221000E-01 1.31244106524678E-02
149 -4.35246932670000E-01 -7.78902881481000E-01 4.51520108988000E-01 6.06510913806020E-03
150 -8.62500423020000E-01 -1.40589572124000E-01 4.86135364379000E-01 1.13044023946591E-02
151 6.88537579850000E-02 4.37786924524000E-01 8.96438379771000E-01 1.97979437539374E-02
152 -3.16102984838000E-01 -9.42088090880000E-01 1.12022015689000E-01 9.90495237073212E-03
153 7.22980308430000E-02 6.22640817268000E-01 -7.79160707048000E-01 1.82113189228565E-02
154 -1.21703393687000E-01 -9.75135118666000E-01 1.85202009463000E-01 1.04595336196385E-02
155 -8.24256633201000E-01 5.32937006173000E-01 1.91256764782000E-01 1.18886348721088E-02
156 -4.48843624631000E-01 7.51495341498000E-01 -4.83522649247000E-01 9.66360822807117E-03
157 9.60430729697000E-01 -1.72725273718000E-01 2.18492089727000E-01 1.09417785760515E-02
158 -4.75094535603000E-01 5.95325701834000E-01 -6.47975687026000E-01 1.33646265663665E-02
159 -6.21798769273000E-01 7.60478804021000E-01 1.87185146755000E-01 1.46454357932285E-02
160 1.56115395048000E-01 9.33387611593000E-01 -3.23133950481000E-01 1.03493731339234E-02
161 -2.16232023311000E-01 8.32048352443000E-01 -5.10822132734000E-01 1.29215822617083E-02
162 8.76326977420000E-02 2.16456219158000E-01 -9.72351384775000E-01 1.40080268316960E-02
163 3.06449505735000E-01 -2.25237065490000E-02 -9.51620398625000E-01 1.58316957096287E-02
164 -4.04019035886000E-01 9.14725649220000E-01 6.75316965300000E-03 1.72288632463884E-02
165 3.41699821161000E-01 9.39772074374000E-01 8.34748139300000E-03 1.34385746580755E-02
166 3.30632729650000E-01 -8.01203007164000E-01 4.98754187346000E-01 1.52739111369555E-02
167 4.93651916993000E-01 -8.69097850673000E-01 3.12523727990000E-02 1.88125486022369E-02
168 6.87030623885000E-01 -7.02465205657000E-01 -1.85826684534000E-01 1.43092804059729E-02
169 4.55397383139000E-01 7.93128154871000E-01 -4.04426697167000E-01 1.75438142494626E-02
170 4.46315909963000E-01 1.09013117445000E-01 -8.88210700644000E-01 1.47976841225074E-02
171 -7.93173898780000E-01 1.66191220671000E-01 5.85880230479000E-01 1.35739568575762E-02
172 -4.99513807056000E-01 7.83231087400000E-02 8.62758046730000E-01 -1.52233167732647E-04
173 -4.13060433117000E-01 -7.49953387895000E-01 -5.16673005468000E-01 1.15955744771499E-02
174 6.60247585205000E-01 -6.20840796785000E-01 -4.22646224729000E-01 9.08625658795686E-03
175 1.97340052877000E-01 4.45918888612000E-01 8.73048250849000E-01 1.10661009035318E-02
176 -5.29578656922000E-01 -6.60635419780000E-02 8.45684370527000E-01 1.28931235454333E-02
177 -2.24783229029000E-01 9.13640016023000E-01 3.38724698050000E-01 2.10388192171754E-02
