       10,00000000000000E+000,00000000000000E+001,00000000000000E+005,09378121970881E-0
       27,32969627973000E-010,00000000000000E+006,80261364822000E-015,26812020464315E-0
       3-4,86406268920000E-03,31428110039000E-01-9,42225820752000E-04,77923198442686E-0
       4-9,39521826030000E-0-3,18290176421000E-0-1,26451975104000E-05,13628451427698E-0
       5-5,99592873592000E-0-7,81545039453000E-01,72266471619000E-015,14208727412723E-0
       66,81572975845000E-01-2,81095110934000E-0-6,75606259005000E-05,20713264830596E-0
       7-2,11267223889000E-0-9,30901608617000E-02,97973749153000E-015,21287936519541E-0
       8-3,22969739032000E-02,49446421084000E-019,12944155290000E-015,16378176902156E-0
       96,62462901387000E-01-7,48957441435000E-01,43406835330000E-024,80553852831109E-0
      106,14598257026000E-01-8,96022323970000E-0-7,83734918458000E-04,59303473052857E-0
      113,29646676802000E-01-4,77458861602000E-0-8,14472899457000E-05,39406881773618E-0
      122,82155703548000E-011,22509106804000E-01-9,51514412768000E-04,65164500436358E-0
      133,65115276456000E-01-7,45521542241000E-05,57573730509000E-014,92320000921797E-0
      145,18782617300000E-011,05758167829000E-01-8,48339440274000E-05,17075605561818E-0
      15-8,31574509591000E-0-5,32141129890000E-0-1,59090077876000E-04,67137765169558E-0
      16-4,34861821833000E-0-2,74065314850000E-0-8,57778175934000E-04,57141092198386E-0
      17-2,50543777562000E-0-8,30934728030000E-04,96764826935000E-014,83764180976020E-0
      182,84843763778000E-01-9,58416229702000E-01,73885272390000E-024,63646892036838E-0
      19-2,74151422850000E-0-8,77914184005000E-04,78032525564000E-014,84159333726478E-0
      20-1,55282013745000E-09,84610666796000E-018,01831094400000E-024,83095997417987E-0
      21-1,71270998285000E-0-5,53164794726000E-08,15275999293000E-014,72481682135736E-0
      22-9,37467661174000E-0-1,75462783052000E-03,00611370406000E-014,95205224827766E-0
      233,11095866419000E-019,47874357264000E-016,89461002400000E-024,90507883715990E-0
      24-5,85398374257000E-0-5,35508733864000E-06,08719261542000E-014,76181253570350E-0
      251,20104865371000E-017,03391425569000E-01-7,00582132051000E-04,96155074026678E-0
      266,32279502846000E-01-7,35394226445000E-02,43757998825000E-014,68736108174111E-0
      272,20991108068000E-019,39374307686000E-012,62180930302000E-014,63137248134869E-0
      282,48423847283000E-01-9,40550079111000E-02,31627158997000E-014,71879875955636E-0
      298,59360436618000E-01-9,06337613640000E-05,03274439324000E-014,82829982805208E-0
      30-7,67138994765000E-0-6,02211474110000E-02,20995708468000E-014,74283427901390E-0
      312,68640905507000E-015,15524192797000E-01-8,13674916984000E-04,85542845032952E-0
      322,00784027842000E-01-8,76422530005000E-04,37686329536000E-015,26961135774999E-0
      33-9,29736546799000E-08,33874153980000E-023,58659298637000E-014,62329937643630E-0
      34-1,12554792867000E-0-5,08605939942000E-0-8,53610810884000E-04,52769797542445E-0
      35-2,36014077260000E-03,61844624320000E-029,71075712812000E-014,98386844272747E-0
      366,23230451371000E-014,75619141841000E-016,20781955600000E-014,70891386365900E-0
      375,83355991140000E-02-9,96863527092000E-05,34795870420000E-025,43484311362864E-0
      38-5,71440238874000E-0-1,15413689337000E-08,12487374492000E-014,93041414170464E-0
      39-5,45806652991000E-0-8,08196100810000E-0-8,34004369399000E-05,23069645623151E-0
      409,34955194397000E-016,77777063510000E-023,48231197613000E-015,21981933420221E-0
      413,10646759506000E-01-9,29337661180000E-0-1,99574803821000E-05,20000893393878E-0
      428,74645709284000E-016,17367227630000E-02-4,80815411871000E-04,62225212813976E-0
      43-4,30835997797000E-0-6,32022057569000E-0-6,44149409492000E-04,61529372665361E-0
      448,83677676285000E-014,38946469102000E-01-1,62603080226000E-05,00213628997625E-0
      45-5,56217800568000E-0-7,17618547999000E-0-4,19100677522000E-04,55463773962391E-0
      466,76704725870000E-027,59415672229000E-016,47076922717000E-015,23281726592817E-0
      476,39244213939000E-01-7,33502276364000E-0-2,30957237414000E-05,47370726206332E-0
      487,40328430748000E-01-2,36418416534000E-06,29301316501000E-014,67372516156494E-0
      493,34307723049000E-016,74420976112000E-01-6,58327193188000E-05,00153702882794E-0
      50-4,74277253999000E-08,75062274289000E-01-9,65769250720000E-04,86442028854040E-0
      51-7,39836128058000E-0-5,04890564132000E-04,44666191508000E-015,00513691598314E-0
      524,92643879242000E-018,55889977867000E-011,57335164637000E-015,23287187390744E-0
      532,96309690899000E-017,42937872550000E-016,00203202766000E-014,68764053507164E-0
      545,38221287810000E-021,22845817506000E-01-9,90965228237000E-04,96470742914915E-0
      55-5,46431411061000E-02,78109540732000E-017,89979617686000E-015,07197985976679E-0
      56-9,44858029410000E-02,46846843264000E-012,15197444760000E-014,96646397889116E-0
      57-7,45713984757000E-0-3,75387817582000E-0-5,50449488462000E-04,69317478178560E-0
      58-5,47959656086000E-07,83337781334000E-01-2,93465731624000E-04,92718944033801E-0
      592,02344889974000E-019,70126868696000E-01-1,33829758037000E-04,74565839256637E-0
      605,60040594770000E-017,53999988317000E-013,43276200497000E-014,21795091664687E-0
      61-2,32357688100000E-0-6,79684516664000E-0-7,33500892159000E-05,30063671497445E-0
      627,63072705650000E-029,94892272265000E-016,60800048930000E-024,80753640801937E-0
      63-6,45270302485000E-06,12179142089000E-01-4,57015245613000E-04,93377954000317E-0
      64-3,64370738009000E-0-1,48272774982000E-09,19374325007000E-015,08772508490846E-0
      65-8,19560656673000E-0-3,02700424284000E-04,86510825339000E-014,69790394106790E-0
      664,57982385830000E-025,33066372029000E-01-8,44832980153000E-04,92596402485605E-0
      678,82645511854000E-01-3,92230672301000E-0-2,59021234864000E-05,45954431934890E-0
      68-9,63136576269000E-0-2,53385017168000E-09,03546818210000E-024,65767507216837E-0
      69-8,75317565873000E-0-3,98634735229000E-02,73696011558000E-015,05984182499680E-0
      706,81492329730000E-014,46834327301000E-01-5,79575093034000E-05,06436139483821E-0
      712,24774174401000E-01-6,64088951578000E-0-7,13065519370000E-04,43953570781391E-0
      721,58207871362000E-01-8,80957417120000E-0-9,83468052217000E-05,29251959425118E-0
      739,65298956023000E-01-2,05309286516000E-0-1,61387801188000E-04,44954693222066E-0
      746,38866591145000E-017,69068103463000E-01-1,95890519060000E-04,99113372396658E-0
      752,51997203612000E-01-2,88601811358000E-0-9,23691725551000E-04,40517640929042E-0
      765,79504002644000E-01-3,58771670119000E-07,31749957048000E-015,08807691757963E-0
      77-2,99370202941000E-0-1,08336758814000E-0-9,47966575508000E-05,12161069047056E-0
      78-9,94286730972000E-0-8,24247477280000E-0-6,78237242840000E-04,95453079120964E-0
      79-1,77181335452000E-05,17121849547000E-01-8,37371940710000E-05,15264783010132E-0
      80-3,20827400860000E-0-9,27880044276000E-0-3,71496058153000E-05,47362223146544E-0
      81-1,73246644350000E-01,06249205960000E-01-9,79130587028000E-05,22807847967425E-0
      822,26031546216000E-01-1,53532544240000E-09,73998982388000E-014,62448439904099E-0
      83-3,78355793020000E-09,19847064957000E-011,03577367110000E-015,14905042483452E-0
      84-4,01672755978000E-08,13735483630000E-02-9,12160809689000E-04,54637930504699E-0
